DISTRITO DE AVEIRO                    Concelho de ÁGUEDA
DISTRITO DE BRAGA                      Concelho de BARCELOS
                           Freguesia                                                  Presidente                             Força política
Rio Covo (Santa Eulália)                                      RUI SÉRGIO GOMES AZEVEDO                        PPD/PSD.CDS-PP
Barcelos                                                      VÍCTOR MANUEL MARTINS PINHO DA SILVA            PPD/PSD.CDS-PP
União das freguesias de Milhazes, Vilar de Figos e Faria      EDITE MARIA BARRETO ARANTES                     GCE (GRUPO DE CIDADÃOS ELEITORES)
União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães   ANA LUÍSA SANTOS FERREIRA                       PPD/PSD.CDS-PP
União das freguesias de Creixomil e Mariz                     MANUEL JORGE MARTINS CARDOSO                    PPD/PSD.CDS-PP
União das freguesias de Sequeade e Bastuço (São João e Santo Estevão)      JORGE MANUEL COELHO MIRANDA                     PS
União das freguesias de Quintiães e Aguiar                    GONÇALO JORGE BARBOSA PEREIRA                   GCE (GRUPO DE CIDADÃOS ELEITORES)
Barqueiros                                                    -                                               -
Vila Frescaínha (São Pedro)                                   PAULO MARTINS CARDOSO                           PPD/PSD.CDS-PP
União das freguesias de Gamil e Midões                        -                                               -
União das freguesias de Durrães e Tregosa                     SECUNDINO GONÇALVES FERROS                      PS
União das freguesias de Vila Cova e Feitos                    -                                               -
Alvelos                                                       ALBERTO MANUEL DA SILVA FERNANDES               PS
Cossourado                                                    MARIA TERESA CARVALHO MARTINS ESTEVES           PPD/PSD.CDS-PP
Carvalhas                                                     JORGE MANUEL MARTINS FERNANDES                  PPD/PSD.CDS-PP
Carvalhal                                                     -                                               -
Cambeses                                                      SÉRGIO PAULO CARVALHO PINTO                     PPD/PSD.CDS-PP
Barcelinhos                                                   JOSÉ RUI DA COSTA ALVES PEIXOTO                 PS
Cristelo                                                      ABEL DA SILVA SÁ                                PPD/PSD.CDS-PP
Areias                                                        MANUEL JOAQUIM GOMES DE SOUSA MARTINS MACHADO   PPD/PSD.CDS-PP
Arcozelo                                                      -                                               -
Airó                                                          CARLOS ALBERTO MANDIM GOMES                     PPD/PSD.CDS-PP

DISTRITO DE BRAGA                   Concelho de BARCELOS
                        Freguesia                                                     Presidente                  Força política
Adães                                                      FERNANDO JORGE RAMOS LIMA               PS
Aborim                                                     DOMINGOS ALBERTO MENESES COSTA          PS
Abade de Neiva                                             -                                      -
Pousa                                                      JOÃO PEDRO RIBEIRO GOMES                PS
Carapeços                                                  ANTÓNIO PEDRO NEVES DA COSTA PEREIRA    PPD/PSD.CDS-PP
Balugães                                                   JOSÉ ANTÓNIO MACHADO BATISTA            PPD/PSD.CDS-PP
Oliveira                                                   ISAÍAS SILVA MACEDO GOMES               PPD/PSD.CDS-PP
Pereira                                                    -                                      -
Aldreu                                                     PAULO JOSÉ DA COSTA LIMA                PS
Perelhal                                                   ARMANDO RICARDO PEREIRA COSTA           PPD/PSD.CDS-PP
Fornelos                                                   -                                      -
Paradela                                                   MANUEL OLIVEIRA GOMES                   PPD/PSD.CDS-PP
Palme                                                      -                                      -
Moure                                                      JOÃO PAULO DA COSTA ARAÚJO              PPD/PSD.CDS-PP
Lijó                                                       FILIPE SENRA DE OLIVEIRA                PPD/PSD.CDS-PP
Fragoso                                                    RUI PEDRO DA SILVA OLIVEIRA             PS
Gilmonde                                                   FERNANDO GONÇALO BRITO FARIA            PPD/PSD.CDS-PP
Panque                                                     VERA PATRÍCIA ARAÚJO MARTINS            PPD/PSD.CDS-PP
Lama                                                       ROSA MARIA FERNANDES DA COSTA           PPD/PSD.CDS-PP
Macieira de Rates                                          SUSANA PATRÍCIA FERREIRA BARBOSA        PPD/PSD.CDS-PP
Manhente                                                   ROBERTO ALEXANDRE MARTINS BOGAS         PPD/PSD.CDS-PP
Martim                                                     ANTÓNIO AUGUSTO MARTINS DE CARVALHO     GCE (GRUPO DE CIDADÃOS ELEITORES)

DISTRITO DE BRAGA                     Concelho de BRAGA
                          Freguesia                                                      Presidente                    Força política
União das freguesias de Ferreiros e Gondizalves               CAROLINA NOGUEIRA VILAÇA TEIXEIRA         PS
